X,reg,popu,gen,rack,nutrient,amd,status,total.fruits,id
285,SP,1.SP,15,1,1,unclipped,Normal,10,7
286,SP,1.SP,14,1,1,unclipped,Normal,6,6
287,SW,7.SW,34,1,1,clipped,Normal,4,21
288,SP,5.SP,17,2,1,clipped,Normal,4,9
289,NL,5.NL,12,2,1,clipped,Normal,5,4
290,SP,1.SP,15,1,1,unclipped,Transplant,4,7
291,SP,6.SP,21,1,1,unclipped,Normal,3,13
292,SW,2.SW,30,2,1,unclipped,Normal,4,20
293,SP,1.SP,15,2,1,clipped,Petri.Plate,11,7
294,SP,5.SP,16,2,1,clipped,Transplant,2,8
295,SP,8.SP,23,1,1,unclipped,Petri.Plate,10,15
296,SP,1.SP,13,2,1,unclipped,Normal,3,5
297,SP,1.SP,15,2,1,clipped,Normal,2,7
298,SP,1.SP,15,1,8,unclipped,Normal,68,7
299,NL,5.NL,11,1,1,unclipped,Transplant,16,3
300,SW,7.SW,35,2,1,unclipped,Normal,10,22
301,SP,5.SP,16,1,1,clipped,Transplant,3,8
302,NL,5.NL,11,1,1,clipped,Normal,3,3
303,SW,7.SW,34,2,8,clipped,Transplant,9,21
304,SP,5.SP,16,2,1,unclipped,Normal,22,8
305,NL,3.NL,4,1,1,unclipped,Normal,6,0
306,NL,5.NL,12,2,1,clipped,Transplant,13,4
307,SP,5.SP,17,2,8,unclipped,Normal,7,9
308,SP,5.SP,17,1,1,clipped,Petri.Plate,16,9
309,SP,8.SP,24,2,1,clipped,Normal,3,16
310,SP,1.SP,13,1,8,clipped,Normal,10,5
311,SP,1.SP,13,2,8,unclipped,Normal,3,5
312,SP,5.SP,18,1,1,clipped,Normal,5,10
313,SW,1.SW,25,2,1,unclipped,Normal,5,17
314,SW,2.SW,30,1,1,unclipped,Normal,9,20
315,NL,5.NL,12,2,8,clipped,Normal,3,4
316,SP,5.SP,17,2,8,clipped,Petri.Plate,12,9
317,NL,5.NL,12,2,8,clipped,Transplant,7,4
318,SW,7.SW,35,2,8,unclipped,Transplant,10,22
319,SP,5.SP,16,2,1,clipped,Normal,3,8
320,SP,6.SP,19,1,1,unclipped,Normal,5,11
321,SP,1.SP,13,2,1,unclipped,Petri.Plate,7,5
322,SP,8.SP,22,1,1,unclipped,Normal,8,14
323,SP,5.SP,17,2,1,unclipped,Normal,6,9
324,SW,7.SW,36,1,8,clipped,Normal,43,23
325,SP,1.SP,13,2,1,unclipped,Normal,3,5
326,NL,5.NL,11,2,1,clipped,Normal,6,3
327,SW,7.SW,35,2,8,unclipped,Normal,17,22
328,SP,6.SP,19,1,1,unclipped,Petri.Plate,32,11
329,SW,2.SW,28,2,8,clipped,Petri.Plate,14,19
330,SW,7.SW,36,2,1,unclipped,Normal,7,23
331,SP,6.SP,19,2,1,clipped,Normal,6,11
332,SP,1.SP,13,2,8,clipped,Normal,5,5
333,SP,8.SP,24,1,1,clipped,Normal,10,16
334,SW,7.SW,35,1,8,unclipped,Transplant,20,22
335,SP,1.SP,14,1,1,clipped,Normal,8,6
336,SP,1.SP,15,2,8,clipped,Normal,58,7
337,SW,2.SW,30,2,8,unclipped,Normal,11,20
338,SW,1.SW,25,2,1,clipped,Normal,5,17
339,SW,7.SW,35,2,1,clipped,Transplant,10,22
340,SP,5.SP,16,2,1,unclipped,Transplant,3,8
341,SP,1.SP,13,1,1,clipped,Transplant,6,5
342,SP,8.SP,22,1,1,unclipped,Normal,10,14
343,SP,6.SP,20,1,1,unclipped,Normal,5,12
344,SP,6.SP,21,2,8,clipped,Normal,7,13
345,NL,5.NL,11,1,8,clipped,Normal,52,3
346,SP,1.SP,14,1,8,unclipped,Normal,47,6
347,SP,1.SP,13,2,1,clipped,Normal,5,5
348,SW,2.SW,28,2,8,clipped,Normal,22,19
349,SP,5.SP,18,1,1,unclipped,Normal,5,10
350,SP,5.SP,16,1,8,unclipped,Transplant,7,8
351,SP,1.SP,15,2,1,unclipped,Normal,29,7
352,SP,8.SP,24,1,1,clipped,Normal,25,16
353,NL,5.NL,11,2,1,clipped,Transplant,6,3
354,NL,5.NL,11,2,8,unclipped,Transplant,12,3
355,SP,5.SP,16,1,8,clipped,Transplant,14,8
356,SW,7.SW,36,1,1,unclipped,Transplant,27,23
357,SP,5.SP,16,1,1,unclipped,Transplant,21,8
358,SP,1.SP,13,1,1,unclipped,Normal,6,5
359,SW,7.SW,36,2,8,clipped,Transplant,25,23
360,SP,8.SP,23,1,8,clipped,Normal,35,15
361,SP,6.SP,21,1,1,clipped,Normal,9,13
362,NL,5.NL,11,2,1,unclipped,Normal,14,3
363,SP,1.SP,13,1,8,clipped,Normal,14,5
364,NL,3.NL,6,1,8,clipped,Normal,21,2
365,NL,5.NL,11,1,1,unclipped,Petri.Plate,70,3
366,SP,1.SP,13,2,1,unclipped,Transplant,7,5
367,SW,1.SW,25,2,8,unclipped,Transplant,4,17
368,NL,5.NL,11,1,8,unclipped,Normal,10,3
369,SP,8.SP,22,2,1,clipped,Transplant,10,14
370,SP,8.SP,24,2,1,clipped,Normal,8,16
371,SP,6.SP,20,2,1,unclipped,Normal,27,12
372,SP,8.SP,22,1,1,clipped,Normal,33,14
373,SP,1.SP,14,2,8,clipped,Normal,6,6
374,NL,3.NL,5,1,1,unclipped,Petri.Plate,54,1
375,SP,1.SP,15,1,8,clipped,Normal,164,7
376,NL,5.NL,12,1,1,clipped,Normal,24,4
377,NL,3.NL,4,2,8,unclipped,Normal,11,0
378,SP,1.SP,15,2,8,clipped,Transplant,12,7
379,SP,1.SP,15,2,8,clipped,Normal,11,7
380,SP,8.SP,23,2,1,clipped,Normal,11,15
381,SW,2.SW,28,2,8,unclipped,Normal,22,19
382,SP,5.SP,17,2,1,unclipped,Petri.Plate,7,9
383,SP,6.SP,20,2,8,unclipped,Normal,10,12
384,SW,1.SW,27,1,8,unclipped,Normal,10,18
385,SP,5.SP,18,2,8,clipped,Petri.Plate,12,10
386,SW,1.SW,25,2,8,clipped,Transplant,11,17
387,SP,1.SP,13,2,8,clipped,Normal,12,5
388,SP,6.SP,19,2,1,clipped,Normal,17,11
389,SP,1.SP,13,1,1,unclipped,Normal,131,5
390,SW,1.SW,27,1,8,clipped,Normal,22,18
391,NL,3.NL,5,2,8,unclipped,Normal,23,1
392,SP,5.SP,16,1,1,unclipped,Normal,6,8
393,SP,5.SP,16,2,8,clipped,Petri.Plate,39,8
394,NL,5.NL,12,2,1,unclipped,Normal,10,4
395,SP,1.SP,14,1,1,unclipped,Transplant,22,6
396,SW,1.SW,25,1,1,unclipped,Normal,15,17
397,SP,5.SP,16,1,1,unclipped,Normal,22,8
398,SP,1.SP,13,2,8,clipped,Normal,48,5
399,SW,7.SW,34,1,8,clipped,Petri.Plate,42,21
400,SW,7.SW,36,1,1,unclipped,Transplant,18,23
401,SP,1.SP,15,1,8,clipped,Transplant,38,7
402,NL,3.NL,4,2,8,unclipped,Transplant,21,0
403,SP,6.SP,21,2,1,unclipped,Normal,6,13
404,SP,1.SP,15,1,1,unclipped,Transplant,32,7
405,NL,3.NL,6,1,8,unclipped,Normal,16,2
406,SP,1.SP,15,2,1,clipped,Transplant,21,7
407,SP,6.SP,19,1,8,unclipped,Normal,60,11
408,SW,1.SW,25,2,1,unclipped,Petri.Plate,8,17
409,SW,1.SW,25,2,8,clipped,Normal,12,17
410,SP,6.SP,19,2,8,unclipped,Normal,34,11
411,NL,5.NL,11,1,8,unclipped,Petri.Plate,55,3
412,SP,1.SP,15,2,1,unclipped,Normal,13,7
413,SW,7.SW,36,1,8,unclipped,Normal,13,23
414,SP,8.SP,24,2,8,unclipped,Normal,74,16
415,SP,8.SP,22,1,8,clipped,Normal,30,14
416,SP,1.SP,15,1,1,clipped,Normal,22,7
417,NL,3.NL,6,2,8,unclipped,Normal,24,2
418,SW,7.SW,35,2,8,unclipped,Transplant,13,22
419,SW,7.SW,35,1,1,unclipped,Transplant,12,22
420,SP,1.SP,13,1,8,clipped,Normal,72,5
421,NL,3.NL,4,1,8,unclipped,Normal,23,0
422,SW,1.SW,25,1,1,clipped,Petri.Plate,13,17
423,SW,1.SW,25,1,1,unclipped,Normal,10,17
424,SW,1.SW,27,2,8,clipped,Normal,56,18
425,SW,2.SW,28,1,1,clipped,Normal,16,19
426,SP,5.SP,16,2,1,unclipped,Normal,20,8
427,SP,6.SP,20,1,8,clipped,Normal,69,12
428,SP,1.SP,15,1,1,clipped,Transplant,26,7
429,SP,5.SP,16,2,8,unclipped,Normal,21,8
430,SP,6.SP,20,1,1,unclipped,Transplant,31,12
431,SW,7.SW,36,1,8,clipped,Transplant,56,23
432,NL,5.NL,12,1,1,unclipped,Normal,26,4
433,SP,1.SP,14,2,1,clipped,Normal,11,6
434,SP,5.SP,16,2,8,unclipped,Normal,12,8
435,NL,3.NL,4,1,8,unclipped,Transplant,24,0
436,SP,1.SP,13,1,8,unclipped,Transplant,27,5
437,NL,5.NL,11,2,8,clipped,Normal,13,3
438,NL,3.NL,4,1,8,unclipped,Normal,59,0
439,SP,8.SP,23,2,1,unclipped,Normal,29,15
440,SW,7.SW,36,1,8,clipped,Transplant,28,23
441,SP,8.SP,24,2,1,unclipped,Normal,69,16
442,SW,7.SW,36,1,1,unclipped,Normal,24,23
443,SP,1.SP,14,2,1,unclipped,Normal,15,6
444,SP,1.SP,15,1,8,clipped,Transplant,52,7
445,SP,8.SP,23,1,8,clipped,Petri.Plate,80,15
446,SP,8.SP,24,2,8,clipped,Normal,67,16
447,SW,2.SW,28,2,1,clipped,Normal,23,19
448,SP,5.SP,16,2,8,unclipped,Normal,41,8
449,SP,8.SP,24,1,1,unclipped,Normal,32,16
450,SW,1.SW,25,2,8,unclipped,Petri.Plate,13,17
451,SP,5.SP,16,1,8,unclipped,Normal,19,8
452,NL,3.NL,4,1,8,unclipped,Transplant,42,0
453,SP,5.SP,17,2,8,clipped,Normal,82,9
454,SP,6.SP,20,2,8,clipped,Normal,47,12
455,SP,8.SP,24,1,8,clipped,Normal,155,16
456,NL,3.NL,4,2,8,clipped,Normal,22,0
457,NL,5.NL,12,2,8,clipped,Normal,22,4
458,SP,5.SP,16,1,8,clipped,Transplant,35,8
459,SP,5.SP,18,2,1,clipped,Petri.Plate,15,10
460,SP,1.SP,14,1,8,clipped,Transplant,39,6
461,NL,5.NL,11,2,8,unclipped,Normal,27,3
462,SW,7.SW,35,1,8,unclipped,Normal,29,22
463,SW,1.SW,27,1,8,clipped,Petri.Plate,42,18
464,SP,1.SP,13,1,1,clipped,Normal,21,5
465,NL,5.NL,11,1,8,unclipped,Normal,90,3
466,SW,2.SW,28,2,8,clipped,Normal,74,19
467,NL,5.NL,11,1,8,clipped,Transplant,150,3
468,SP,1.SP,15,1,1,clipped,Petri.Plate,69,7
469,SW,1.SW,27,1,1,clipped,Normal,27,18
470,SW,1.SW,25,2,1,unclipped,Petri.Plate,27,17
471,SW,7.SW,35,1,8,unclipped,Transplant,35,22
472,SP,6.SP,19,1,8,clipped,Normal,197,11
473,SP,5.SP,16,2,1,unclipped,Petri.Plate,20,8
474,SW,1.SW,27,2,1,unclipped,Normal,31,18
